 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000  100.0000  100.0000    6.1040    1.2362    4.6712    0.0000  1.0000E-10      0.0000  4.3541E+02
    0.1341    1.0000   99.0000   99.0000    6.1053    1.2473    4.6659    0.0000  1.0000E-10      0.0000  3.9328E+02
    0.2639    1.0000   98.0100   98.0100    6.1068    1.2579    4.6610    0.0000  1.0000E-10     -0.0003  3.5443E+02
    0.3895    1.0000   97.0299   97.0299    6.1083    1.2681    4.6563    0.0000  1.0000E-10     -0.0008  3.1865E+02
    0.5112    1.0000   96.0596   96.0596    6.1100    1.2780    4.6518    0.0000  1.0000E-10     -0.0016  2.8577E+02
    0.6290    1.0000   95.0990   95.0990    6.1118    1.2876    4.6474    0.0000  1.0000E-10     -0.0027  2.5561E+02
    0.7433    1.0000   94.1480   94.1480    6.1136    1.2970    4.6432    0.0000  1.0000E-10     -0.0041  2.2800E+02
    0.8540    1.0000   93.2065   93.2065    6.1154    1.3063    4.6390    0.0000  1.0000E-10     -0.0057  2.0280E+02
    0.9614    1.0000   92.2745   92.2745    6.1172    1.3155    4.6348    0.0000  1.0000E-10     -0.0076  1.7985E+02
    1.0655    1.0000   91.3517   91.3517    6.1189    1.3246    4.6307    0.0000  1.0000E-10     -0.0098  1.5901E+02
    1.1665    1.0000   90.4382   90.4382    6.1206    1.3336    4.6266    0.0000  1.0000E-10     -0.0122  1.4015E+02
    1.2645    1.0000   89.5338   89.5338    6.1222    1.3426    4.6225    0.0000  1.0000E-10     -0.0149  1.2313E+02
    1.3597    1.0000   88.6385   88.6385    6.1237    1.3516    4.6184    0.0000  1.0000E-10     -0.0179  1.0782E+02
    1.4521    1.0000   87.7521   87.7521    6.1250    1.3606    4.6142    0.0000  1.0000E-10     -0.0211  9.4090E+01
    1.5418    1.0000   86.8746   86.8746    6.1263    1.3696    4.6101    0.0000  1.0000E-10     -0.0247  8.1827E+01
    1.6290    1.0000   86.0058   86.0058    6.1274    1.3786    4.6058    0.0000  1.0000E-10     -0.0285  7.0909E+01
    1.7137    1.0000   85.1458   85.1458    6.1284    1.3877    4.6015    0.0000  1.0000E-10     -0.0325  6.1223E+01
    1.7961    1.0000   84.2943   84.2943    6.1293    1.3969    4.5971    0.0000  1.0000E-10     -0.0369  5.2660E+01
    1.8762    1.0000   83.4514   83.4514    6.1300    1.4062    4.5927    0.0000  1.0000E-10     -0.0415  4.5118E+01
    1.9540    1.0000   82.6169   82.6169    6.1306    1.4156    4.5881    0.0000  1.0000E-10     -0.0464  3.8499E+01
    2.0298    1.0000   81.7907   81.7907    6.1310    1.4251    4.5834    0.0000  1.0000E-10     -0.0516  3.2712E+01
    2.1036    1.0000   80.9728   80.9728    6.1312    1.4349    4.5786    0.0000  1.0000E-10     -0.0571  2.7672E+01
    2.1753    1.0000   80.1631   80.1631    6.1313    1.4449    4.5736    0.0000  1.0000E-10     -0.0628  2.3300E+01
    2.2451    1.0000   79.3614   79.3614    6.1312    1.4551    4.5685    0.0000  1.0000E-10     -0.0688  1.9523E+01
    2.3131    1.0000   78.5678   78.5678    6.1309    1.4657    4.5632    0.0000  1.0000E-10     -0.0752  1.6274E+01
    2.3792    1.0000   77.7821   77.7821    6.1304    1.4766    4.5576    0.0000  1.0000E-10     -0.0818  1.3491E+01
    2.4435    1.0000   77.0043   77.0043    6.1298    1.4879    4.5518    0.0000  1.0000E-10     -0.0887  1.1120E+01
    2.5060    1.0000   76.2343   76.2343    6.1290    1.4997    4.5457    0.0000  1.0000E-10     -0.0959  9.1096E+00
    2.5668    1.0000   75.4719   75.4719    6.1280    1.5120    4.5393    0.0000  1.0000E-10     -0.1033  7.4142E+00
